Place,BIB#,Lastname,Firstname,Club,Nation,Sex,AC,AC Place,Net,Finish,Photos,Certificate
4560,27696,Hii,Kevin,HIGHGATE,NZL,M,45,645,03:33:46,03:38:37,,
4561,21284,Hernandez,Ignacio,,MEX,M,35,797,03:33:47,03:56:08,,
4562,57399,Nicolet,Pierre,,FRA,M,30,754,03:33:47,03:54:31,,
4563,61353,Wirsching,Timo,,GER,M,35,798,03:33:47,03:56:35,,
4564,57417,Nieminen,Ville,Tampereen Triathlonklubi,FIN,M,30,755,03:33:48,03:57:53,,
4565,57100,Morin,James,,USA,M,35,799,03:33:48,04:01:16,,
4566,26521,HÃ¼we,Rainer,Marathon Steinfurt,GER,M,55,175,03:33:48,03:54:16,,
4567,61038,Wagner,Alexander,MRRC MÃ¼nchen,GER,M,45,646,03:33:48,03:58:06,,
4568,27630,Schwarz,Markus,,GER,M,45,647,03:33:48,04:00:24,,
4569,54917,Juarez Ramirez,Javier,,MEX,M,35,800,03:33:48,03:54:08,,
4570,52668,Dunton,Chelsea,Walnut Creek Track Club,USA,W,30,91,03:33:49,03:59:20,,
4571,13655,Rolph,Rebecca,,USA,W,30,92,03:33:49,03:53:54,,
4572,19218,Bayer-Brinkmann,Esther,DelbrÃ¼ck lÃ¤uft,GER,W,40,82,03:33:49,03:56:37,,
4573,13456,Elattal,Mohamed,,EGY,M,40,826,03:33:50,03:54:21,,
4573,52252,De Jaeghere,Jeroen,,BEL,M,40,826,03:33:50,03:58:08,,
4575,24413,Eisfeldt,Franziska,SCC Berlin,GER,W,35,104,03:33:50,03:57:26,,
4575,29589,Feliziani,Marco,purosangue,ITA,M,45,648,03:33:50,03:55:49,,
4577,24473,Matthiesen,Rasmus,,DEN,M,Jug,5,03:33:50,03:56:32,,
4578,26095,Hespelt,Gerd,,GER,M,45,649,03:33:50,03:54:11,,
4579,50507,Ballenger,Emily,Gilberts Gazelles,USA,W,45,70,03:33:51,03:57:01,,
4580,12629,Walsh,Brian,The Heartbreakers,USA,M,30,756,03:33:51,03:35:24,,
4581,52211,Davalos,Frida,DUCKS,MEX,W,H,88,03:33:51,04:54:28,,
4582,12416,Zakharov,Andrei,,RUS,M,35,801,03:33:52,03:54:48,,
4583,4393,Rottenbach,Matthias,LG Mauerweg Berlin,GER,M,45,650,03:33:53,03:35:35,,
4584,22106,Banmann,Diana Rafaela,,GER,W,30,93,03:33:53,04:01:29,,
4585,58403,Rago,Constantino,,USA,M,60,59,03:33:54,03:54:41,,
4586,26662,Fradin,Nicolas,,FRA,M,40,828,03:33:54,03:55:12,,
4587,57811,Parker,Corey,,USA,W,40,83,03:33:56,04:00:21,,
4588,13075,Leutheuser,Dirk,,GER,M,50,445,03:33:57,03:36:09,,
4589,26962,Kharchyshyn,Galyna,SV Werder Bremen,UKR,W,30,94,03:33:57,03:35:34,,
4590,56663,Mcardle,Siobhan,,IRL,W,H,89,03:33:57,03:55:51,,
4591,29031,Aggoune,Cyndelle,,FRA,W,30,95,03:33:58,03:55:34,,
4592,28269,RÃ¶ttger,Lorenz,Bucerius Law School,GER,M,H,382,03:33:59,03:36:01,,
4593,52026,Couclelis,Alexandros,Amsterdam Running Junkies,GRE,M,30,757,03:33:59,03:54:34,,
4594,61718,StÃ¸a,Petter,,NOR,M,60,60,03:34:00,03:57:53,,
4595,3569,Sorger,Harald,LC Leobersdorf,AUT,M,45,651,03:34:00,03:36:15,,
4596,23410,Scherer,Heiko,TBR,GER,M,45,652,03:34:00,03:56:22,,
4597,54851,Johansen,Klaus,,DEN,M,45,653,03:34:01,03:35:04,,
4598,51045,Boissonneault,Yves,,CAN,M,55,176,03:34:02,03:55:19,,
4599,13262,Schulze Steinen,Ralf,,GER,M,45,654,03:34:02,03:54:43,,
4600,58764,Rodrigues,Pedro,Preta Runners,POR,M,45,655,03:34:03,03:54:14,,
4601,24016,Ben Boukhris,Najet,,BEL,W,50,29,03:34:03,04:24:28,,
4602,61091,Wang,Liyong,,CHN,W,45,71,03:34:04,03:56:56,,
4603,24072,Popp,Heinrich,,GER,M,55,177,03:34:05,03:56:05,,
4604,58740,Rocchi,Alessio,ATLETICA SANTA MARINELLA,ITA,M,40,829,03:34:06,03:59:45,,
4605,14298,Martin,Anke,LG Vogtland,GER,W,50,30,03:34:06,03:36:01,,
4606,50323,Araujo,JosÃ© Eduardo,Savazoni Running Team,BRA,M,45,656,03:34:07,04:25:29,,
4607,18881,Poppke,Jens,,GER,M,40,830,03:34:08,03:57:05,,
4608,59597,Shipkov,Vladimir,-,RUS,M,40,831,03:34:09,03:57:43,,
4609,60336,Thielecke,Frank,,GER,M,55,178,03:34:09,03:55:06,,
4610,26941,Fauvel,David,TSV Otterndorf,GER,M,35,802,03:34:09,03:35:41,,
4611,23758,Schneider,Stefan,SCC Berlin,GER,M,50,446,03:34:09,03:54:25,,
4612,17599,Fischer,Alexander,,GER,M,35,803,03:34:09,04:01:08,,
4613,20462,moulaert,thibauld,,BEL,M,40,832,03:34:10,03:57:23,,
4614,19176,Intellini,Rossano,,ITA,M,40,833,03:34:10,03:35:45,,
4615,22427,MÃ¤der,Jens,,GER,M,45,657,03:34:10,04:29:24,,
4616,56083,Lohrbach,Jan,,GER,M,35,804,03:34:10,03:56:57,,
4617,53398,GarcÃ­a H,VerÃ³nica,,COL,W,30,96,03:34:11,03:54:22,,
4617,12455,Kistler,Marc,,FRA,M,H,383,03:34:11,03:59:12,,
4617,29484,Thibaut,Elias,,FRA,M,H,383,03:34:11,04:49:15,,
4620,20947,Manojlovic,Bojan,,SRB,M,40,834,03:34:11,04:24:13,,
4621,22076,Coulouarn,Tangui,,FRA,M,45,658,03:34:11,03:58:16,,
4622,22053,Spanheimer,Sanne,,DEN,W,40,84,03:34:11,04:01:59,,
4623,24558,Naveau,Thomas,,BEL,M,35,805,03:34:11,03:58:29,,
4624,57254,Naaktgeboren,Patrick,Run2forty2,NED,M,35,806,03:34:12,03:56:21,,
4625,17451,Rochon,Lucie,,CAN,W,60,3,03:34:12,03:54:40,,
4626,50823,Bernier Villamor,VÃ­ctor,,ESP,M,50,447,03:34:13,03:35:58,,
4627,55101,Kelly,Karmen,,CAN,W,40,85,03:34:14,03:55:29,,
4628,16692,Reim,Udo,,GER,M,55,179,03:34:15,03:55:13,,
4629,50601,Bartlett,Denise,,GBR,W,30,97,03:34:15,04:01:50,,
4630,61658,Aciego,Oscar,,ESP,M,45,659,03:34:15,03:58:32,,
4631,60924,Villa,Andrea,GRUPPO ETHOS RUNNING TEAM,ITA,M,30,758,03:34:15,03:34:48,,
4632,4601,Diedrich,Christian,LAV Stadtwerke TÃ¼bingen,GER,M,60,61,03:34:15,03:54:27,,
4633,25526,Engelhardt,Tobias,,GER,M,40,835,03:34:16,03:58:08,,
4634,F247,Witzel,Ricarda,Swiss Mystery Racing Team,GER,W,55,10,03:34:16,03:35:14,,
4635,26775,Wright,Tom,,GBR,M,35,807,03:34:16,03:57:19,,
4636,20134,Tourlakis,Dimitris,,GRE,M,45,660,03:34:16,03:58:14,,
4637,20917,Huber,Jan,,AUT,M,Jug,6,03:34:18,04:01:29,,
4638,25648,marrivagu,santosh,,GER,M,40,836,03:34:18,03:55:43,,
4639,26782,Mache,Matthias,,GER,M,35,808,03:34:18,03:57:41,,
4639,60211,Tacaille,CÃ©dric,SAGC Triathlon Cestas,FRA,M,35,808,03:34:18,04:00:00,,
4641,28931,Emmerich,Marc,,GER,M,35,810,03:34:18,03:36:01,,
4642,27134,Rodriguez Vega,Juan Pablo,Conchatos,MEX,M,30,759,03:34:18,04:55:03,,
4642,27019,Neumann,Steffi,medneo,GER,W,40,86,03:34:18,03:54:48,,
4644,52930,FÃ¤hrmann,Paul,SCC Berlin,GER,M,H,385,03:34:18,03:35:03,,
4645,21240,Lund,Jon,,DEN,M,50,448,03:34:19,03:57:17,,
4646,22281,Abacioglu,Burak,Global Wellness Day,TUR,M,30,760,03:34:19,03:35:38,,
4647,22661,Husslein,Alain,,LUX,M,50,449,03:34:19,04:00:28,,
4648,58896,Roseboom,Niels,,NED,M,45,661,03:34:19,03:35:18,,
4649,52246,De Graaf,Gerben,,NED,M,45,662,03:34:21,03:57:00,,
4650,16633,Dippold,Otto,TSV ScheÃlitz,GER,M,45,663,03:34:21,03:35:34,,
4651,50602,Bartlett,Steve,,GBR,M,30,761,03:34:21,04:50:04,,
4651,12590,Dudlitz,Maurizio,BerlinBagels,GER,M,H,386,03:34:21,03:57:14,,
4651,16865,Doga,Stefano,,ITA,M,35,811,03:34:21,04:00:35,,
4654,26513,BÃ¼cker,Marlene,Run Pack Berlin,GER,W,30,98,03:34:22,03:54:39,,
4655,50784,Berge,Jan Magne,,NOR,M,50,450,03:34:23,03:54:48,,
4656,59192,Savchenko,Volodymyr,Squad UA Runners,UKR,M,40,837,03:34:23,03:55:02,,
4657,20787,Quante,Mario,SVC Weine eV,GER,M,40,838,03:34:24,03:59:29,,
4657,57314,Neal,Emma,Chorlton Runners,GBR,W,30,99,03:34:24,03:55:27,,
4659,60922,VIGO DIAZ,JOSE,CLUB ATLETISMO VELEZ,ESP,M,60,62,03:34:24,04:49:26,,
4659,18922,Heller,Thomas,,SUI,M,55,180,03:34:24,03:35:15,,
4661,27943,Dlamini,Andile,,RSA,M,35,812,03:34:24,03:57:32,,
4662,24781,BrÃ¼ll,Florian,,GER,M,35,813,03:34:25,03:55:47,,
4662,60427,TÃ¶lle,Dietmar,,GER,M,35,813,03:34:25,04:57:19,,
4664,28116,Haataja,Kim,,FIN,M,45,664,03:34:25,03:58:36,,
4665,12371,Lehner,Daniel,SV Waizendorf,GER,M,45,665,03:34:25,03:54:32,,
4666,25834,Hering,Simon,,GER,M,45,666,03:34:26,03:56:30,,
4667,22434,Ferrari,Francesca,Avis Marathon Verbania,ITA,W,45,72,03:34:27,03:55:36,,
4668,24706,Rohm,Detlev,,GER,M,55,181,03:34:27,03:58:35,,
4669,23056,Holmgren,Trevor,NYRR Team for Kids,USA,M,H,387,03:34:28,03:35:36,,
4670,23727,Schnurr,Tobias,HelpAge Deutschland,GER,M,35,815,03:34:28,03:37:16,,
4671,60582,Tytianevych,Liubov,PUSHEB UKRAINE,UKR,W,H,90,03:34:29,03:54:51,,
4672,60204,Szymanski,Artur,,POL,M,40,839,03:34:29,03:36:36,,
4673,14984,McParland,Victoria,,GER,W,45,73,03:34:30,03:56:07,,
4674,60728,Van Laer,Wieger,,NED,M,35,816,03:34:30,03:55:42,,
4675,55900,Leone,Ashley,Toronto Harriers,CAN,W,45,74,03:34:32,03:56:49,,
4676,20246,Seibel,Niklas,SBL Running Club,GER,M,30,762,03:34:32,03:59:34,,
4677,55614,Labrie,Eric,,CAN,M,50,451,03:34:33,03:55:56,,
4677,50099,Aguinaga Inza,Alfonso,,ESP,M,45,667,03:34:33,04:25:37,,
4679,13968,Pehlemann,Rene,Lauftreff Milow,GER,M,40,840,03:34:33,03:56:32,,
4680,59738,Slater,Gemma,,GBR,W,35,105,03:34:34,03:58:33,,
4681,26491,Baumgartl,Karsten,BenApollo Runners,BRA,M,35,817,03:34:34,03:57:04,,
4682,59063,Salazar,Carolina,Aethos,ESP,W,30,100,03:34:34,04:01:58,,
4683,12384,Poczewski,Pawel,,POL,M,45,668,03:34:35,03:54:40,,
4684,3199,Schloetcke,Holger,,GER,M,55,182,03:34:35,03:36:01,,
4685,55378,Korliakov,Evgenii,Dynamo Saint-Petersburg,RUS,M,40,841,03:34:36,03:54:40,,
4686,2618,Sivulka,Juraj,LC HANSA STUHR,GER,M,50,452,03:34:36,03:35:43,,
4687,24453,Andrae,Wolfram,Team Erdinger Alkoholfrei,GER,M,50,453,03:34:36,04:56:08,,
4688,52917,Ewing,Ruth,,USA,W,40,87,03:34:38,04:01:04,,
4689,56291,Maddox,Chapman,,USA,M,40,842,03:34:38,03:58:01,,
4690,15367,Platschek,Andreas,,GER,M,60,63,03:34:38,03:35:37,,
4691,21600,MÃ¸ller,Rikke,Gedpaahjul dk,DEN,W,45,75,03:34:38,03:56:45,,
4692,60736,Van Meerhaeghe,Olivier,,BEL,M,45,669,03:34:38,04:01:10,,
4693,29562,Hyland,Karena,,IRL,W,45,76,03:34:38,03:56:33,,
4694,58714,Robert,Guillaume,SG Triathlon,FRA,M,45,670,03:34:39,03:58:33,,
4695,51090,Borchhardt,Jens,LebenslÃ¤ufer,GER,M,50,454,03:34:40,03:59:15,,
4696,13122,Brauner,Joachim,RWO Endurance Team,GER,M,55,183,03:34:40,03:56:26,,
4697,16189,Schewe,Dominik,,GER,M,30,763,03:34:42,04:50:38,,
4697,54269,Heredia Diez,Jesus Javier,,ESP,M,30,763,03:34:42,03:36:24,,
4699,12862,Jausen,Johannes,TUS Zeppelinheim,GER,M,35,818,03:34:42,03:58:45,,
4700,22926,von Lindheim,Johannes,SCC Berlin,GER,M,H,388,03:34:44,03:58:19,,
4701,60998,von Quast,Marcel,,GER,M,40,843,03:34:45,03:55:48,,
4702,28635,Malik,Edmund,MPI-CBG,GER,M,45,671,03:34:46,03:55:01,,
4703,54596,Huotari,Patrick,,FIN,M,50,455,03:34:47,03:56:56,,
4704,20512,Rivera Rivera,Milvia,Yogi Rodriguez Workout,USA,W,35,106,03:34:47,03:58:47,,
4705,15000,Breuer,Martin,,GER,M,30,765,03:34:47,03:55:13,,
4706,29075,Crnica,Toni,ADIDAS RUNNERS ZAGREB,CRO,M,H,389,03:34:48,04:49:58,,
4707,16561,Ruppe,Steffen,,GER,M,45,672,03:34:50,03:55:34,,
4708,26050,Zeishold,Udo,RC Tegel,GER,M,50,456,03:34:50,04:54:03,,
4709,26508,Queyreau,Guido,LG Hohenfels,GER,M,45,673,03:34:51,03:58:07,,
4710,51284,Browet,Pierre,,BEL,M,H,390,03:34:51,03:56:18,,
4711,22343,Hugelshofer,Patrik,,SUI,M,40,844,03:34:52,03:57:00,,
4712,16777,Brenner,Heiko,,GER,M,40,845,03:34:52,03:58:52,,
4713,12184,Martinez Moneo,Alberto,,ESP,M,40,846,03:34:52,03:57:54,,
4714,56859,Meyer,James,RUN DEM CREW,GBR,M,30,766,03:34:52,03:58:30,,
4715,56099,Lopez,Elmer,,GUA,M,55,184,03:34:53,03:55:12,,
4716,50880,Bhattacharya,Subhasish,,USA,M,40,847,03:34:53,03:36:01,,
4717,53775,Green,Thomas,Nicola Hughes Memorial,GBR,M,40,848,03:34:54,03:56:32,,
4718,58679,Rip,Jaco,,NED,M,40,849,03:34:55,03:56:19,,
4718,59709,Siudak,Anna,,POL,W,40,88,03:34:55,04:56:08,,
4720,3624,Hammerby,Steffen,BSV Flughafen MÃ¼nchen,DEN,M,50,457,03:34:55,03:55:20,,
4721,58581,Repo,Jukka,Espoon Tapiot,FIN,M,60,64,03:34:56,03:55:19,,
4722,23116,Gern,Ludger,Campinghof Salem,GER,M,50,458,03:34:57,03:36:15,,
4723,28975,Hitchman,Christopher,Leamington,GBR,M,40,850,03:34:57,03:35:53,,
4724,22577,Kommers,Jacky,,NED,W,H,91,03:34:57,03:56:43,,
4725,28250,Pregler,Andrea,,GER,W,35,107,03:34:58,04:52:54,,
4726,50592,Weber,Bart,,NED,M,30,767,03:35:00,03:58:43,,
4727,55659,Lampenscherf,Edgar,SCC Berlin,GER,M,35,819,03:35:00,03:36:58,,
4728,53152,folvik,cato,,NOR,M,45,674,03:35:00,04:00:39,,
4729,13568,Baumann,Frank,,GER,M,50,459,03:35:01,03:58:39,,
4730,23075,Rabb,Dorothy Kee,,USA,W,40,89,03:35:01,04:00:54,,
4731,F707,Niesch,Christiane,,GER,W,45,77,03:35:02,03:55:59,,
4732,52959,FarrÃ©,Cyrille,,CAN,M,50,460,03:35:02,03:37:51,,
4733,22584,Wild,Alex,,GBR,M,35,820,03:35:02,03:59:58,,
4734,22889,Meagher,Paul,,IRL,M,30,768,03:35:02,03:35:44,,
4735,56066,Lobbedey,Els,HERMES OOSTENDE,BEL,W,45,78,03:35:03,03:57:05,,
4736,52481,Diehl,Felix,Red Bull Pub Plochingen,GER,M,40,851,03:35:04,03:56:26,,
4737,57255,NÃ¤Ã¤tÃ¤nen,Vesa,Lapin lennosto,FIN,M,50,461,03:35:04,03:58:01,,
4738,58748,RÃ¶ckle,Silas,,GER,M,30,769,03:35:05,03:35:57,,
4739,52569,Dornberger,Frank,Wuhletal Runners,GER,M,45,675,03:35:06,03:57:12,,
4740,26676,Chardaire,Laurent,Run75Crew,FRA,M,30,770,03:35:06,03:35:45,,
4741,15554,Ajlec,Oskar,,GER,M,40,852,03:35:06,04:53:36,,
4742,12743,Grohe,Oliver,,GER,M,30,771,03:35:07,03:57:43,,
4743,53661,Gonzalez,Brayan,OVUNQUE RUNNING,COL,M,30,772,03:35:07,03:37:05,,
4744,19527,Danilin,Alex,,UKR,M,30,773,03:35:07,04:57:14,,
4745,20014,Stoffel,Johannes,,GER,M,H,391,03:35:09,03:56:44,,
4746,2870,Klein,Marcel,LaufmÃ¼tzen Usedom,GER,M,40,853,03:35:09,03:37:25,,
4747,19666,Joannides,Michael,Smalley Road Runners,GBR,M,45,676,03:35:10,04:53:40,,
4748,53293,Fuglseth,Helge,Kondis,NOR,M,70,4,03:35:10,03:55:55,,
4749,59751,Smetanin,Stanislav,,RUS,M,35,821,03:35:10,03:37:23,,
4750,57485,Nordquist,Johan,Lulekamraterna,SWE,M,50,462,03:35:11,03:35:42,,
4751,60230,Tan,Henry,,CAN,M,30,774,03:35:11,03:59:15,,
4752,27005,Michl,Albert,TV Barbing,GER,M,45,677,03:35:12,03:57:09,,
4753,17542,Howard,Edward,New York Harriers,USA,M,35,822,03:35:12,03:55:58,,
4754,17593,Mertens,Marie,,BEL,W,H,92,03:35:13,03:59:41,,
4755,24224,Gianni,Lorenzo,OVUNQUE RUNNING,ITA,M,50,463,03:35:13,03:55:49,,
4756,56594,Massart,Pascal,TT ADZEUX,BEL,M,50,464,03:35:13,04:00:30,,
4757,58491,Rebolledo,Oscar,Midnight Runners,USA,M,35,823,03:35:13,03:57:37,,
4758,28979,Giombini,Ennio,,ESP,M,40,854,03:35:13,04:52:41,,
4759,27361,Nanz,Michael,TSV Schleswig,GER,M,40,855,03:35:15,03:56:28,,
4760,14789,Binninger,Delia,,GER,W,H,93,03:35:15,03:55:32,,
4760,59069,Salazar Sanchez,Marvin,,CRC,M,45,678,03:35:15,03:55:18,,
4762,26731,Binninger,Ansgar,,GER,M,H,392,03:35:15,03:55:32,,
4763,22622,Mark,Michael,Koege Tri Team 2000,DEN,M,45,679,03:35:15,04:50:59,,
4764,57531,Nye,Jonathan,,RSA,M,30,775,03:35:16,04:25:35,,
4765,16199,Marucci,Gabrielle,,USA,W,30,101,03:35:16,04:26:02,,
4766,61474,Yao,Wei Song,Burn Running Club,CAN,M,55,185,03:35:16,03:56:05,,
4767,16205,Weisenbilder,Cyrill,JoRUNstÃ¤dter,GER,M,45,680,03:35:16,03:56:21,,
4768,26462,Cifuentes,David,Berlin Social Runners,COL,M,35,824,03:35:17,03:35:58,,
4769,29561,KjÃ¦r,Martin,,DEN,M,40,856,03:35:17,03:56:08,,
4770,61675,Delgado,Roy,,CRC,M,35,825,03:35:18,03:55:23,,
4771,21950,Ãllgaard Nielsen,Betina,HLLH,DEN,W,45,79,03:35:18,03:56:08,,
4771,52264,DE LA MORA,GUADALUPE,,MEX,W,35,108,03:35:18,04:00:27,,
4773,17893,Goncalves,Thiago,,BRA,M,30,776,03:35:19,04:52:13,,
4774,60849,VÃ©lez Escalante,JosÃ© Luis,,MEX,M,40,857,03:35:19,04:25:27,,
4775,23162,Pivert,Thibault,,FRA,M,45,681,03:35:19,04:01:05,,
4776,27890,Pohl,Johann,TEaMPOhl,GER,M,55,186,03:35:19,03:57:07,,
4777,51676,Chan,Vicky,,GBR,W,35,109,03:35:20,03:59:53,,
4778,18639,Mucha,Tomasz,Zuzia team,POL,M,45,682,03:35:20,03:57:52,,
4779,53089,Fischer,Rene,,GER,M,35,826,03:35:22,03:36:52,,
4780,21927,Recloux,Sebastien,,BEL,M,40,858,03:35:23,04:01:54,,
4781,26786,Kho,Pau Lin,,NED,W,35,110,03:35:24,03:55:30,,
4781,16979,Feuerer,Alyssa,,USA,W,35,110,03:35:24,04:01:09,,
4783,24873,Baumann,Matthias,Tri-Finisher Berlin,GER,M,35,827,03:35:24,03:35:56,,
4784,18885,Goroshkov,Alexander,,RUS,M,50,465,03:35:24,03:58:36,,
4785,24010,Krage,Lisa,,GER,W,H,94,03:35:25,03:59:06,,
4786,27592,Schmidt,Patrick,,GER,M,40,859,03:35:26,03:58:56,,
4787,58825,RÃ¶hm,Jonas,,GER,M,30,777,03:35:26,03:57:43,,
4788,20294,Haven,Stephanie,,USA,W,H,95,03:35:27,03:56:29,,
4789,29625,Pereverzin,Vladimir,,RUS,M,55,187,03:35:28,04:52:56,,
4790,50561,Bargain,Erwan,CAB PONT L ABBE,FRA,M,40,860,03:35:28,03:36:20,,
4791,57245,Myerberg,Ryan,,GBR,M,40,861,03:35:29,04:57:10,,
4792,24564,Maas,Philip,SCC Berlin,GER,M,35,828,03:35:29,03:37:01,,
4793,21716,Struck,Marit,,GER,W,50,31,03:35:31,03:55:54,,
4794,56523,Martin,Loreto,team3fdc,ESP,W,50,32,03:35:31,03:58:46,,
4795,29630,MoÃ«s,Alain,,BEL,M,55,188,03:35:31,03:56:55,,
4796,52391,Derevyanko,Andriy,Sapik Team,UKR,M,35,829,03:35:31,03:57:40,,
4797,29499,Kalz,Christoph,,GER,M,40,862,03:35:32,03:58:02,,
4798,20492,Emery,Gillian,Mile2Marathon,CAN,W,50,33,03:35:34,03:58:22,,
4799,56030,Lipus,Fabienne,LAC Olympia 88 Berlin,GER,W,30,102,03:35:34,04:00:23,,
4800,17498,Uebber,Daniel,,GER,M,35,830,03:35:35,03:56:44,,
4801,19996,Van Isselmuden,Willem,NN,NED,M,40,863,03:35:35,03:55:54,,
4802,60519,Truluck,Karen,,USA,W,H,96,03:35:35,04:00:09,,
4803,58126,Pla,Carlos,,ESP,M,35,831,03:35:36,03:36:40,,
4804,27305,Hinrichsen,Marcus,,GER,M,30,778,03:35:36,03:36:36,,
4805,51385,Burmeister,Jonathan,,USA,M,45,683,03:35:37,03:36:35,,
4806,24699,Breitenwischer,Dustin,,GER,M,35,832,03:35:37,03:36:39,,
4807,26619,Fischer,Steffen,,GER,M,55,189,03:35:37,03:56:23,,
4808,26810,Bal,Eyup,,GER,M,45,684,03:35:38,03:56:31,,
4809,4799,SchÃ¶nwÃ¤lder,Thorsten,SPOK BERLIN PANKOW,GER,M,50,466,03:35:38,03:37:49,,
4810,61178,Weinberger,Mirco,,GER,M,30,779,03:35:39,03:59:39,,
4811,52629,Duayhe,Juan,,USA,M,35,833,03:35:39,03:58:42,,
4811,59704,Sinquin,Michel,COURIR A SAINT GREGOIRE,FRA,M,55,190,03:35:39,04:02:25,,
4813,13829,Walzel,Ralf,RV 1890 Alsfeld,GER,M,45,685,03:35:39,03:38:17,,
4814,15244,Fox,Andreas,TeamMohn,GER,M,35,834,03:35:39,04:27:45,,
4815,28454,Weidmann,Jannik,TSV Bargteheide Triathlon,GER,M,H,393,03:35:40,03:38:23,,
4816,17393,Arnold,Jens,,GER,M,55,191,03:35:40,03:58:43,,
4817,26708,Schenk,Torsten,,GER,M,55,192,03:35:41,03:38:17,,
4818,54222,Heller,Markus,,GER,M,40,864,03:35:42,03:57:39,,
4819,17907,Gazard,Philip,Marshall Milton Keynes AC,GBR,M,55,193,03:35:42,03:37:52,,
4820,26622,Rad,Florin,,ROU,M,40,865,03:35:42,03:56:01,,
4821,22057,De Bartoli,Denis,,ITA,M,45,686,03:35:42,03:55:58,,
4822,56188,LÃ¼deking,Jakob,,DEN,M,H,394,03:35:42,04:50:58,,
4823,50193,Alt,Ricarda,,GER,W,30,103,03:35:43,03:59:04,,
4824,14810,Lacombe,FranÃ§ois,,CAN,M,60,65,03:35:43,04:51:15,,
4825,52114,Czaban,Lukasz,,POL,M,40,866,03:35:45,03:56:31,,
4826,60149,Suter,Maxime,,SUI,M,40,867,03:35:46,03:59:00,,
4827,52576,D'Orvilliers,Amanda,,USA,W,35,112,03:35:47,03:56:06,,
4828,16188,HeÃ,Jens-Uwe,,GER,M,45,687,03:35:48,04:01:19,,
4829,13464,Grass,Rene,TV Refrath,GER,M,50,467,03:35:48,03:58:34,,
4830,22581,GuldbÃ¦k,Bettina,BAC,DEN,W,40,90,03:35:49,03:56:41,,
4831,12187,De La Hoz San Miguel,Angel,,ESP,M,40,868,03:35:49,03:58:25,,
4832,55446,Kraus,Julian,TSV RÃ¶ttenbach,GER,M,35,835,03:35:49,03:56:05,,
4832,57665,Ortiz,Consuelo,,ARG,W,40,91,03:35:49,03:59:30,,
4834,22191,Martins Moreira,StÃ©phanie,,SUI,W,30,104,03:35:50,04:02:28,,
4835,55533,Kuhn,Pascal,,SUI,M,35,836,03:35:51,03:56:52,,
4836,50217,Amaya,Pablo,,COL,M,35,837,03:35:52,03:55:57,,
4837,22300,DahlstrÃ¸m,Lone,,DEN,W,50,34,03:35:53,03:58:11,,
4838,4653,Raps,Frank,,GER,M,45,688,03:35:53,03:37:45,,
4839,26176,Migas,Janina,,GER,W,30,105,03:35:54,04:00:11,,
4840,26866,MuÃ±oz,Juan,,COL,M,30,780,03:35:54,03:57:41,,
4841,12507,GÃ¶ckler,Stephan,,GER,M,50,468,03:35:55,03:59:43,,
4842,53527,Gianluca,Adornetto,Due Ponti Sporting Club,ITA,M,50,469,03:35:55,03:36:22,,
4843,16163,Belke,Luisa,Paulalaeuft,GER,W,30,106,03:35:57,03:56:58,,
4844,60172,Sykes,Carl,,GBR,M,55,194,03:35:58,03:56:06,,
4845,52756,Eide,Vidar,Fjellhug Vereide IL,NOR,M,55,195,03:35:58,03:56:59,,
4846,15839,KÃ¶tter,Hannes,,GER,M,30,781,03:36:00,04:03:08,,
4847,61616,Zimarina,Viktoriia,,UKR,W,40,92,03:36:00,03:37:36,,
4848,2121,Bleckmann,Tim,Karower Dachse Berlin,GER,M,45,689,03:36:00,03:37:26,,
4849,29301,Partac,Constantin,,ROU,M,35,838,03:36:01,03:57:20,,
4850,57343,Nestmann,Erin,,CAN,W,35,113,03:36:01,04:02:14,,
4851,28972,Siolos,Lambros,Sciencetraining,GRE,M,40,869,03:36:02,03:38:14,,
4852,18088,Delgado,Javier,,PER,M,55,196,03:36:02,03:56:09,,
4853,20918,Anhorn,Benjamin,,GER,M,30,782,03:36:03,03:56:30,,
4854,54646,Ihnatenko,Andrii,,UKR,M,30,783,03:36:03,03:57:44,,
4855,58277,Prieto,Carlos,,COL,M,40,870,03:36:03,03:59:44,,
4856,19754,Cruijssen,Robert,,NED,M,40,871,03:36:04,03:37:16,,
4857,23774,Pedersen,Kim Uldahl,HLLH,DEN,M,45,690,03:36:04,03:58:23,,
4858,19041,BAUTISTA RESENDIZ,EDGAR JOAO,,MEX,M,40,872,03:36:04,03:36:17,,
4859,19444,Bontekoning,Dennis,,NED,M,35,839,03:36:04,03:58:23,,
4860,18707,Decorte,Bram,,BEL,M,H,395,03:36:06,04:56:06,,
4861,17346,Sauer,Markus,LAG SaarbrÃ¼cken,GER,M,55,197,03:36:07,04:03:06,,
4862,25395,Waller,Nick,,GER,M,40,873,03:36:07,03:57:44,,
4863,53854,Guardia,Pol,,ESP,M,30,784,03:36:07,03:57:11,,
4864,29311,ZÃ¼rn,Rolf,,GER,M,50,470,03:36:08,04:02:44,,
4865,59117,SÃ¡nchez Herran,Juan Carlos,,ESP,M,50,471,03:36:08,03:56:36,,
4866,16766,Hehnen,Felix,,GER,M,30,785,03:36:08,04:01:21,,
4867,21992,Wedum,Karl Fridtjof,,NOR,M,50,472,03:36:08,03:59:55,,
